car,price
206 1.4 XT BA 5P,
206 1.6 16V 110 5P,400 
206 1.9D 70 5P,1000 
207 1.6 VTI 120 PREMIUM 5P,800 
207 CC 1.6 HDI 110 FELINE 2P,2200 
207 SW 1.6 HDI 92 URBAN MOVE 5P,1400 
208 1.2 PURETECH 110 ALLURE 5P,3800 
208 1.2 PURETECH 82 STYLE 5P,2800 
208 1.2 THP 100 GT LINE BA,3800 
3008 1.2 THP 130 ALLURE,6000 
3008 1.2 THP 130 ALLURE 5P,7400 
308 1.6 BLUEHDI 100 STYLE 5P,4800 
A3 SPORTBACK 1.2 TFSI 105 ATTRACTION 5P,4000 
ASTRA COUPE GTC 1.9 CDTI 120 BERTONE 3P,600 
ASX 1.8 DI-D 150 INSTYLE 4X4 5P,3200 
BERLINGO 1.6 BLUEHDI 100 STE CLUB,7000 
BERLINGO VAN 1.5 BLUEHDI 100 STE CLUB,8400 
C1 1.0 68 ATTRACTION 5P,1200 
C2 1.1 60 3P,1400 
C3 1.2 VTI 82 FEEL 5P,3000 
C3 1.2 VTI 82 GRAPHIC 5P,3400 
C3 1.4 75 TIC TAC 5P,600 
C3 1.6 HDI 90 AIRPLAY 5P,400 
C3 AIRCROSS 1.2 THP 110 RIP CURL 5P,5800 
C3 AIRCROSS 1.2 THP110 SHINE 5P,5200 
C3 PICASSO 1.6 HDI AIRDREAM 90 CONFORT,600 
C3 VTI 82 EXCLUSIVE 5P,1800 
C4 CACTUS 1.2 THP110 ORIGINS 5P,7000 
C4 PICASSO 1.6 E-HDI 115 EXCLUSIVE 5P,4200 
C4 PICASSO 1.6 HDI 110 MILLENIUM BA,2000 
C5 HDI 110 CONFORT 4P,600 
CAPTUR 1.2 TCE 16V 120 HELLY HANSEN BA,5800 
CLASSE C COUPE 200 CDI 2P,2400 
CLIO 0.9 TCE ENERGY 90 ZEN 5P,5800 
CLIO III 1.5 DCI 85 CFT PACK CLIM EXP,600 
CLIO III 1.5 DCI 85 DYNAMIQUE 5P,1400 
CLIO IV 0.9 TCE ENERGY 90 INTENS 5P,6800 
CLIO IV 1.2 16V 75 AUTHENTIQUE 5P,3000 
CLIO IV 1.5 DCI 90 ENERGY INTENS BA 5P,7000 
CLIO IV ESTATE 0.9 TCE 90 ENERGY LIMITED,2800 
CLIO V 1.5 BLUE CDI 115 INTENS 5P,7200 
COLT CLEAR TEC 1.1 75 3P,1200 
COOPER 1.5 136 SHOREDITCH 5P,5800 
CORSA 1.4 TWINPORT 90 COSMO 5P,1200 
CUBE 1.5 DCI 110 ZEN 5P,400 
DISCOVERY SPORT 2.0 TD4 150 SE MARK III,11000 
DS3 1.2 THP 110 SO CHIC 3P,6000 
DS4 1.6 E-HDI 115 SO CHIC 5P,4800 
DUSTER 1.2 TCE 125 PRESTIGE 4X2,7400 
DUSTER 1.5 DCI 90 LAUREATE 2 4X2 5P,4400 
EVOQUE COUPE MARK 2.2 SD4 190 PURE BA,9500 
EXPERT STD 1.5 BLUEHDI 100 STE PREMIUM,10500 
EXPERT STD 1.5 BLUEHDI 120 STE ASPHALT,9500 
EXPERT STD 1.6 BLUEHDI 115 STE PRO,8200 
FOCUS 1.6 100 3P,400 
GD MODUS 1.5 DCI 90 DYNAMIQUE 5P,600 
GOLF 1.6 TDI 105 BLUEMOTION CONFORTLINE,4400 
GOLF 1.9 TDI 90 TRENDLINE 3P,1000 
GOLF CAB 1.6 TDI 105 2P,5000 
GOLF VI 1.6 TDI 105 CONFORTLINE 5P,4200 
IBIZA 1.4 TDI 70 FRESH 3P,1200 
IGNIS 1.3 DDIS 70 SERIE SPECIALE 5P,
INTERSTAR DCI 120,3000 
JUKE 1.5 DCI 110 ACENTA 5P,3400 
JUMPER 33MH 2.0 HDI MINIBUS,3800 
KA 1.2 69 TITANIUM 5P,1800 
KA 1.3 70 3P,2000 
KORANDO 2.0 E-XDI 149 4X4 5P,4000 
LATITUDE 3.0 DCI 240 INITIALE BA 4P,4200 
MASTER 2.5 DCI 120,4000 
MEGANE I CAB 1.6 16V 107 PACK CLIM,600 
MEGANE III 1.5 DCI 95 LIFE 5P,1800 
MEGANE III 1.5 DCI 95 LIFE 5P,3600 
MEGANE III 1.5 DCI 95 PEPITE 5P,1000 
MEGANE IV 1.5 BLUE DCI 115 STE AIR NAV,2400 
MICRA 1.2 65 BLOG 3P,1800 
PANDA 1.2 69 EASY 5P,3400 
PARTNER STD BLUEHDI 100 STE PREMIUM,7000 
QASHQAI 1.5 DCI 110 5P,6000 
QASHQAI 2.0 DCI 150 ACENTA ALL MODE 4WD,1800 
ROADSTER COOPER S 1.6 16V 184,8400 
SANDERO 0.9 TCE 90 STEPWAY 5P,4600 
SANDERO 0.9 TCE 90 STEPWAY AMBIANCE,2200 
SANDERO 1.5 DCI 90 STEPWAY,2200 
SCENIC 1.5 DCI 110 EXPRESSION 5P,2200 
SCENIC 1.9 DCI 130 EXPRESSION,2800 
